Description,Price,Rating,Review_Count,URL
"boAt Airdopes 121v2 TWS Earbuds with Bluetooth V5.0, Immersive Audio, Up to 14H Total Playback, Instant Voice Assistant, Easy Access Controls with Mic and Dual Tone Ergonomic Design(Midnight Blue)",₹899,3.8 out of 5 stars,"49,839",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0684877OHQ2BHW4J69J&url=%2FAirdopes-121v2-Bluetooth-Immersive-Assistant%2Fdp%2FB08JQLB5CG%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528255%26sr%3D8-17-spons%26psc%3D1&qualifier=1633528255&id=8072616052978913&widgetName=sp_atf_next
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Active Black)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04189803LBREX84RBJOH&url=%2FAirdopes-441-Technology-Immersive-Resistance%2Fdp%2FB086WM3RB8%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528255%26sr%3D8-18-spons%26psc%3D1&qualifier=1633528255&id=8072616052978913&widgetName=sp_atf_next
"boAt Airdopes 171 TWS Earbuds with 13 Hours Battery, IPX4, Bluetooth V5.0, Voice Assistant and Dual Tone Finish with Mic(Mysterious Blue)","₹1,299",3.9 out of 5 stars,"32,214",https://www.amazon.in/Boat-Airdopes-171-Functionality-Resistance/dp/B086WMSCN3/ref=sr_1_19?dchild=1&keywords=boat+tws&qid=1633528255&smid=A14CZOWI0VEHLG&sr=8-19
"boAt Airdopes 171 TWS Earbuds with 13 Hours Battery, IPX4, Bluetooth V5.0, Voice Assistant and Dual Tone Finish with Mic(Active Black)","₹1,499",3.9 out of 5 stars,"32,214",https://www.amazon.in/Boat-Airdopes-171-Functionality-Resistance/dp/B086WNLYT8/ref=sr_1_20?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-20
"boAt Airdopes 621 TWS Earbuds with 150 Hours Battery, Digital Battery Indicator, IPX7, IWP Technology, Bluetooth 5.0, Type-c Interface and Voice Assistant(Active Black)","₹1,999",3.7 out of 5 stars,"4,021",https://www.amazon.in/boAt-Airdopes-621-Indicator-Technology/dp/B08TT5FBJR/ref=sr_1_21?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-21
"Boult Audio AirBass PowerBuds True Wireless Bluetooth Earbuds with 120 Hours Total Playtime, Inbuilt Powerbank, Fast Charging, Touch Controls, IPX7 Waterproof & Type C Port (Black)","₹1,499",3.8 out of 5 stars,"6,687",https://www.amazon.in/Boult-Audio-PowerBuds-Wireless-Waterproof/dp/B08D11DZ2W/ref=sr_1_22?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-22
Boult Audio AirBass FX1 Truly Wireless Bluetooth in Ear Earbuds with Mic (White),₹899,3.7 out of 5 stars,"7,153",https://www.amazon.in/Boult-Audio-AirBass-Wireless-Bluetooth/dp/B092VRD15K/ref=sr_1_23?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-23
"Redmi Earbuds 2C in-Ear Truly Wireless Earphones with Environment Noise Cancellation, 12hrs Battery Life & IPX4 Splash Proof",₹899,3.6 out of 5 stars,"19,421",https://www.amazon.in/Redmi-Earbuds-Truly-Wireless-Earphones/dp/B08J4GWSSG/ref=sr_1_24?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-24
"Ambrane Dots 38 True Wireless Earbuds TWS with Pure HD Bass, 16H Playtime, IPX4 Waterproof, Responsive Touch Sensors for Multifunctions, Compact Type-C Charging Case (Green), Normal",₹799,3.5 out of 5 stars,"1,762",https://www.amazon.in/Ambrane-Wireless-Waterproof-Responsive-Multifunctions/dp/B0995RZPQV/ref=sr_1_25?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-25
"Noise Air Buds Truly Wireless Earbuds with Mic for Crystal Clear Calls, HD Sound, Smart Touch and 20 Hour Playtime - Jet Black","₹1,499",3.7 out of 5 stars,"19,119",https://www.amazon.in/Noise-Wireless-Bluetooth-Earbuds-Playtime/dp/B08H8N3RKT/ref=sr_1_26?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-26
